date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:20:36	254403/254403	U-----	200	untouched ('')	image/jpeg	date:Fri,%2007%20Aug%202015%2009:33:30%20GMT	http://envato.megadrupal.com/html/gofar/images/bg/1.jpg	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/images/bg/1.jpg	(from http://envato.megadrupal.com/html/gofar/)
23:20:36	637152/637152	U-----	200	untouched ('')	image/jpeg	date:Fri,%2007%20Aug%202015%2009:33:31%20GMT	http://envato.megadrupal.com/html/gofar/images/bg/2.jpg	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/images/bg/2.jpg	(from http://envato.megadrupal.com/html/gofar/)
23:20:36	721489/721489	U-----	200	untouched ('')	image/jpeg	date:Fri,%2007%20Aug%202015%2009:33:37%20GMT	http://envato.megadrupal.com/html/gofar/images/bg/3.jpg	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/images/bg/3.jpg	(from http://envato.megadrupal.com/html/gofar/)
23:20:36	139623/139623	U-----	200	untouched ('')	image/jpeg	date:Fri,%2007%20Aug%202015%2009:33:44%20GMT	http://envato.megadrupal.com/html/gofar/images/img/1.jpg	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/images/img/1.jpg	(from http://envato.megadrupal.com/html/gofar/)
23:20:37	155747/155747	U-----	200	untouched ('')	image/jpeg	date:Fri,%2007%20Aug%202015%2009:33:54%20GMT	http://envato.megadrupal.com/html/gofar/images/img/2.jpg	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/images/img/2.jpg	(from http://envato.megadrupal.com/html/gofar/)
23:20:37	617199/617199	U-----	200	untouched ('')	image/jpeg	date:Fri,%2007%20Aug%202015%2009:33:59%20GMT	http://envato.megadrupal.com/html/gofar/images/img/3.jpg	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/images/img/3.jpg	(from http://envato.megadrupal.com/html/gofar/)
23:20:37	271952/271952	U-----	200	untouched ('')	image/jpeg	date:Fri,%2007%20Aug%202015%2009:33:57%20GMT	http://envato.megadrupal.com/html/gofar/images/img/4.jpg	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/images/img/4.jpg	(from http://envato.megadrupal.com/html/gofar/)
23:20:38	219184/219184	U-----	200	untouched ('')	image/jpeg	date:Fri,%2007%20Aug%202015%2009:33:59%20GMT	http://envato.megadrupal.com/html/gofar/images/img/5.jpg	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/images/img/5.jpg	(from http://envato.megadrupal.com/html/gofar/)
23:20:38	155069/155069	U-----	200	untouched ('')	image/jpeg	date:Fri,%2007%20Aug%202015%2009:34:01%20GMT	http://envato.megadrupal.com/html/gofar/images/img/6.jpg	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/images/img/6.jpg	(from http://envato.megadrupal.com/html/gofar/)
23:20:38	232100/232100	U-----	200	untouched ('')	image/jpeg	date:Fri,%2007%20Aug%202015%2009:34:02%20GMT	http://envato.megadrupal.com/html/gofar/images/img/7.jpg	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/images/img/7.jpg	(from http://envato.megadrupal.com/html/gofar/)
23:20:38	268014/268014	U-----	200	untouched ('')	image/jpeg	date:Fri,%2007%20Aug%202015%2009:34:04%20GMT	http://envato.megadrupal.com/html/gofar/images/img/8.jpg	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/images/img/8.jpg	(from http://envato.megadrupal.com/html/gofar/)
23:20:39	200222/200222	U-----	200	untouched ('')	image/jpeg	date:Fri,%2007%20Aug%202015%2009:34:04%20GMT	http://envato.megadrupal.com/html/gofar/images/img/9.jpg	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/images/img/9.jpg	(from http://envato.megadrupal.com/html/gofar/)
23:20:39	15128/15128	U-----	200	untouched ('')	image/jpeg	date:Fri,%2007%20Aug%202015%2009:34:17%20GMT	http://envato.megadrupal.com/html/gofar/images/trip/2.jpg	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/images/trip/2.jpg	(from http://envato.megadrupal.com/html/gofar/)
23:20:39	872/872	U-----	200	untouched ('')	image/jpeg	date:Fri,%2007%20Aug%202015%2009:33:21%20GMT	http://envato.megadrupal.com/html/gofar/images/trip.jpg	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/images/trip.jpg	(from http://envato.megadrupal.com/html/gofar/)
23:20:40	20230/20230	U-----	200	untouched ('')	image/jpeg	date:Fri,%2007%20Aug%202015%2009:34:18%20GMT	http://envato.megadrupal.com/html/gofar/images/trip/3.jpg	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/images/trip/3.jpg	(from http://envato.megadrupal.com/html/gofar/)
23:20:40	19386/19386	U-----	200	untouched ('')	image/jpeg	date:Fri,%2007%20Aug%202015%2009:34:18%20GMT	http://envato.megadrupal.com/html/gofar/images/trip/4.jpg	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/images/trip/4.jpg	(from http://envato.megadrupal.com/html/gofar/)
23:20:40	13026/13026	U-----	200	untouched ('')	image/jpeg	date:Fri,%2007%20Aug%202015%2009:34:19%20GMT	http://envato.megadrupal.com/html/gofar/images/trip/5.jpg	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/images/trip/5.jpg	(from http://envato.megadrupal.com/html/gofar/)
23:20:40	13443/13443	U-----	200	untouched ('')	image/jpeg	date:Fri,%2007%20Aug%202015%2009:34:17%20GMT	http://envato.megadrupal.com/html/gofar/images/trip/1.jpg	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/images/trip/1.jpg	(from http://envato.megadrupal.com/html/gofar/)
23:20:41	2693/2693	U-----	200	untouched ('')	image/jpeg	date:Fri,%2007%20Aug%202015%2009:34:14%20GMT	http://envato.megadrupal.com/html/gofar/images/thumb/40-40.jpg	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/images/thumb/40-40.jpg	(from http://envato.megadrupal.com/html/gofar/)
23:20:41	1399/1399	U-----	200	untouched ('')	image/png	date:Fri,%2007%20Aug%202015%2009:33:15%20GMT	http://envato.megadrupal.com/html/gofar/images/logo-footer.png	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/images/logo-footer.png	(from http://envato.megadrupal.com/html/gofar/)
23:20:41	25250/25250	U-----	200	untouched ('OK')	application/x-javascript	date:Fri,%2007%20Aug%202015%2009:34:27%20GMT	http://envato.megadrupal.com/html/gofar/js/lib/masonry.pkgd.min.js	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/js/lib/masonry.pkgd.min.js	(from http://envato.megadrupal.com/html/gofar/)
23:20:42	95931/95931	U-----	200	untouched ('OK')	application/x-javascript	date:Fri,%2007%20Aug%202015%2009:34:22%20GMT	http://envato.megadrupal.com/html/gofar/js/lib/jquery-1.11.2.min.js	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/js/lib/jquery-1.11.2.min.js	(from http://envato.megadrupal.com/html/gofar/)
23:20:42	1770/1770	U-----	200	untouched ('OK')	application/x-javascript	date:Fri,%2007%20Aug%202015%2009:34:26%20GMT	http://envato.megadrupal.com/html/gofar/js/lib/jquery.parallax-1.1.3.js	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/js/lib/jquery.parallax-1.1.3.js	(from http://envato.megadrupal.com/html/gofar/)
23:20:42	54306/54306	U-----	200	untouched ('OK')	application/x-javascript	date:Fri,%2007%20Aug%202015%2009:34:26%20GMT	http://envato.megadrupal.com/html/gofar/js/lib/jquery.owl.carousel.js	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/js/lib/jquery.owl.carousel.js	(from http://envato.megadrupal.com/html/gofar/)
23:20:42	3930/3930	U-----	200	untouched ('OK')	application/x-javascript	date:Fri,%2007%20Aug%202015%2009:34:29%20GMT	http://envato.megadrupal.com/html/gofar/js/lib/theia-sticky-sidebar.js	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/js/lib/theia-sticky-sidebar.js	(from http://envato.megadrupal.com/html/gofar/)
23:20:43	20817/20817	U-----	200	untouched ('OK')	application/x-javascript	date:Fri,%2007%20Aug%202015%2009:34:25%20GMT	http://envato.megadrupal.com/html/gofar/js/lib/jquery.magnific-popup.min.js	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/js/lib/jquery.magnific-popup.min.js	(from http://envato.megadrupal.com/html/gofar/)
